Variable,Units,Description
floatingse.memload3.lc:Pz,N/m,
floatingse.memload3.lc:qdyn,Pa,
floatingse.memload4.env.distLoads.windLoads_Px,N/m,
floatingse.memload4.env.distLoads.windLoads_Py,N/m,
floatingse.memload4.env.distLoads.windLoads_Pz,N/m,
floatingse.memload4.env.distLoads.windLoads_qdyn,N/m**2,
floatingse.memload4.env.distLoads.windLoads_z,m,
floatingse.memload4.env.distLoads.windLoads_beta,deg,
floatingse.memload4.env.distLoads.waveLoads_Px,N/m,
floatingse.memload4.env.distLoads.waveLoads_Py,N/m,
floatingse.memload4.env.distLoads.waveLoads_Pz,N/m,
floatingse.memload4.env.distLoads.waveLoads_qdyn,N/m**2,
floatingse.memload4.env.distLoads.waveLoads_z,m,
floatingse.memload4.env.distLoads.waveLoads_beta,deg,
floatingse.memload4.z_global,m,
floatingse.memload4.env.waveLoads.U,m/s,
floatingse.memload4.env.waveLoads.A,m/s**2,
floatingse.memload4.env.waveLoads.p,N/m**2,
floatingse.memload4.outer_diameter_full,m,
floatingse.memload4.ca_usr,,
floatingse.memload4.cd_usr,,
floatingse.memload4.env.windLoads.U,m/s,
floatingse.member4_Y_pontoon_upper1:joint1,m,
floatingse.member4_Y_pontoon_upper1:joint2,m,
floatingse.memload4.s_full,m,
floatingse.memload4.s_all,,
floatingse.memload4.g2e.Px_global,N/m,
floatingse.memload4.g2e.Py_global,N/m,
floatingse.memload4.g2e.Pz_global,N/m,
floatingse.memload4.g2e.qdyn_global,Pa,
floatingse.memload4.lc:Px,N/m,
floatingse.memload4.lc:Py,N/m,
floatingse.memload4.lc:Pz,N/m,
floatingse.memload4.lc:qdyn,Pa,
floatingse.memload5.env.distLoads.windLoads_Px,N/m,
floatingse.memload5.env.distLoads.windLoads_Py,N/m,
floatingse.memload5.env.distLoads.windLoads_Pz,N/m,
floatingse.memload5.env.distLoads.windLoads_qdyn,N/m**2,
floatingse.memload5.env.distLoads.windLoads_z,m,
floatingse.memload5.env.distLoads.windLoads_beta,deg,
floatingse.memload5.env.distLoads.waveLoads_Px,N/m,
floatingse.memload5.env.distLoads.waveLoads_Py,N/m,
floatingse.memload5.env.distLoads.waveLoads_Pz,N/m,
floatingse.memload5.env.distLoads.waveLoads_qdyn,N/m**2,
floatingse.memload5.env.distLoads.waveLoads_z,m,
floatingse.memload5.env.distLoads.waveLoads_beta,deg,
floatingse.memload5.z_global,m,
floatingse.memload5.env.waveLoads.U,m/s,
floatingse.memload5.env.waveLoads.A,m/s**2,
floatingse.memload5.env.waveLoads.p,N/m**2,
floatingse.memload5.outer_diameter_full,m,
floatingse.memload5.ca_usr,,
floatingse.memload5.cd_usr,,
floatingse.memload5.env.windLoads.U,m/s,
floatingse.member5_Y_pontoon_upper2:joint1,m,
floatingse.member5_Y_pontoon_upper2:joint2,m,
floatingse.memload5.s_full,m,
floatingse.memload5.s_all,,
floatingse.memload5.g2e.Px_global,N/m,
floatingse.memload5.g2e.Py_global,N/m,
floatingse.memload5.g2e.Pz_global,N/m,
floatingse.memload5.g2e.qdyn_global,Pa,
floatingse.memload5.lc:Px,N/m,
floatingse.memload5.lc:Py,N/m,
floatingse.memload5.lc:Pz,N/m,
floatingse.memload5.lc:qdyn,Pa,
floatingse.memload6.env.distLoads.windLoads_Px,N/m,
floatingse.memload6.env.distLoads.windLoads_Py,N/m,
floatingse.memload6.env.distLoads.windLoads_Pz,N/m,
floatingse.memload6.env.distLoads.windLoads_qdyn,N/m**2,
floatingse.memload6.env.distLoads.windLoads_z,m,
floatingse.memload6.env.distLoads.windLoads_beta,deg,
floatingse.memload6.env.distLoads.waveLoads_Px,N/m,
floatingse.memload6.env.distLoads.waveLoads_Py,N/m,
floatingse.memload6.env.distLoads.waveLoads_Pz,N/m,
floatingse.memload6.env.distLoads.waveLoads_qdyn,N/m**2,
floatingse.memload6.env.distLoads.waveLoads_z,m,
floatingse.memload6.env.distLoads.waveLoads_beta,deg,
floatingse.memload6.z_global,m,
floatingse.memload6.env.waveLoads.U,m/s,
floatingse.memload6.env.waveLoads.A,m/s**2,
floatingse.memload6.env.waveLoads.p,N/m**2,
floatingse.memload6.outer_diameter_full,m,
floatingse.memload6.ca_usr,,
floatingse.memload6.cd_usr,,
floatingse.memload6.env.windLoads.U,m/s,
floatingse.member6_Y_pontoon_upper3:joint1,m,
floatingse.member6_Y_pontoon_upper3:joint2,m,
floatingse.memload6.s_full,m,
floatingse.memload6.s_all,,
floatingse.memload6.g2e.Px_global,N/m,
floatingse.memload6.g2e.Py_global,N/m,
floatingse.memload6.g2e.Pz_global,N/m,
floatingse.memload6.g2e.qdyn_global,Pa,
floatingse.memload6.lc:Px,N/m,
floatingse.memload6.lc:Py,N/m,
floatingse.memload6.lc:Pz,N/m,
floatingse.memload6.lc:qdyn,Pa,
floatingse.memload7.env.distLoads.windLoads_Px,N/m,
floatingse.memload7.env.distLoads.windLoads_Py,N/m,
floatingse.memload7.env.distLoads.windLoads_Pz,N/m,
floatingse.memload7.env.distLoads.windLoads_qdyn,N/m**2,
floatingse.memload7.env.distLoads.windLoads_z,m,
floatingse.memload7.env.distLoads.windLoads_beta,deg,
floatingse.memload7.env.distLoads.waveLoads_Px,N/m,
floatingse.memload7.env.distLoads.waveLoads_Py,N/m,
floatingse.memload7.env.distLoads.waveLoads_Pz,N/m,
floatingse.memload7.env.distLoads.waveLoads_qdyn,N/m**2,
floatingse.memload7.env.distLoads.waveLoads_z,m,
floatingse.memload7.env.distLoads.waveLoads_beta,deg,
floatingse.memload7.z_global,m,
floatingse.memload7.env.waveLoads.U,m/s,
floatingse.memload7.env.waveLoads.A,m/s**2,
floatingse.memload7.env.waveLoads.p,N/m**2,
floatingse.memload7.outer_diameter_full,m,
floatingse.memload7.ca_usr,,
floatingse.memload7.cd_usr,,
floatingse.memload7.env.windLoads.U,m/s,
floatingse.member7_Y_pontoon_lower1:joint1,m,
floatingse.member7_Y_pontoon_lower1:joint2,m,
floatingse.memload7.s_full,m,
floatingse.memload7.s_all,,
floatingse.memload7.g2e.Px_global,N/m,
floatingse.memload7.g2e.Py_global,N/m,
floatingse.memload7.g2e.Pz_global,N/m,
floatingse.memload7.g2e.qdyn_global,Pa,
floatingse.memload7.lc:Px,N/m,
floatingse.memload7.lc:Py,N/m,
floatingse.memload7.lc:Pz,N/m,
floatingse.memload7.lc:qdyn,Pa,
floatingse.memload8.env.distLoads.windLoads_Px,N/m,
floatingse.memload8.env.distLoads.windLoads_Py,N/m,
floatingse.memload8.env.distLoads.windLoads_Pz,N/m,
floatingse.memload8.env.distLoads.windLoads_qdyn,N/m**2,
floatingse.memload8.env.distLoads.windLoads_z,m,
floatingse.memload8.env.distLoads.windLoads_beta,deg,
floatingse.memload8.env.distLoads.waveLoads_Px,N/m,
floatingse.memload8.env.distLoads.waveLoads_Py,N/m,
floatingse.memload8.env.distLoads.waveLoads_Pz,N/m,
floatingse.memload8.env.distLoads.waveLoads_qdyn,N/m**2,
floatingse.memload8.env.distLoads.waveLoads_z,m,
floatingse.memload8.env.distLoads.waveLoads_beta,deg,
floatingse.memload8.z_global,m,
floatingse.memload8.env.waveLoads.U,m/s,
floatingse.memload8.env.waveLoads.A,m/s**2,
floatingse.memload8.env.waveLoads.p,N/m**2,
floatingse.memload8.outer_diameter_full,m,
floatingse.memload8.ca_usr,,
floatingse.memload8.cd_usr,,
floatingse.memload8.env.windLoads.U,m/s,
floatingse.member8_Y_pontoon_lower2:joint1,m,
floatingse.member8_Y_pontoon_lower2:joint2,m,
floatingse.memload8.s_full,m,
floatingse.memload8.s_all,,
floatingse.memload8.g2e.Px_global,N/m,
floatingse.memload8.g2e.Py_global,N/m,
floatingse.memload8.g2e.Pz_global,N/m,
floatingse.memload8.g2e.qdyn_global,Pa,
floatingse.memload8.lc:Px,N/m,
floatingse.memload8.lc:Py,N/m,
floatingse.memload8.lc:Pz,N/m,
floatingse.memload8.lc:qdyn,Pa,
floatingse.memload9.env.distLoads.windLoads_Px,N/m,
floatingse.memload9.env.distLoads.windLoads_Py,N/m,
floatingse.memload9.env.distLoads.windLoads_Pz,N/m,
floatingse.memload9.env.distLoads.windLoads_qdyn,N/m**2,
floatingse.memload9.env.distLoads.windLoads_z,m,
floatingse.memload9.env.distLoads.windLoads_beta,deg,
floatingse.memload9.env.distLoads.waveLoads_Px,N/m,
floatingse.memload9.env.distLoads.waveLoads_Py,N/m,
floatingse.memload9.env.distLoads.waveLoads_Pz,N/m,
floatingse.memload9.env.distLoads.waveLoads_qdyn,N/m**2,
floatingse.memload9.env.distLoads.waveLoads_z,m,
floatingse.memload9.env.distLoads.waveLoads_beta,deg,
floatingse.memload9.z_global,m,
floatingse.memload9.env.waveLoads.U,m/s,
floatingse.memload9.env.waveLoads.A,m/s**2,
floatingse.memload9.env.waveLoads.p,N/m**2,
floatingse.memload9.outer_diameter_full,m,
floatingse.memload9.ca_usr,,
floatingse.memload9.cd_usr,,
floatingse.memload9.env.windLoads.U,m/s,
floatingse.member9_Y_pontoon_lower3:joint1,m,
floatingse.member9_Y_pontoon_lower3:joint2,m,
floatingse.memload9.s_full,m,
floatingse.memload9.s_all,,
floatingse.memload9.g2e.Px_global,N/m,
floatingse.memload9.g2e.Py_global,N/m,
floatingse.memload9.g2e.Pz_global,N/m,
floatingse.memload9.g2e.qdyn_global,Pa,
floatingse.memload9.lc:Px,N/m,
floatingse.memload9.lc:Py,N/m,
floatingse.memload9.lc:Pz,N/m,
floatingse.memload9.lc:qdyn,Pa,
floatingse.platform_elem_D,m,
floatingse.platform_elem_a,m,
floatingse.platform_elem_b,m,
floatingse.platform_elem_sigma_y,Pa,
floatingse.platform_elem_qdyn,Pa,
floatingse.platform_Fz,N,
floatingse.platform_Vx,N,
floatingse.platform_Vy,N,
floatingse.platform_Mxx,N*m,
floatingse.platform_Myy,N*m,
floatingse.platform_Mzz,N*m,
floatingse.tower_xyz,m,
floatingse.tower_A,m**2,
floatingse.tower_Asx,m**2,
floatingse.tower_Asy,m**2,
floatingse.tower_Ixx,kg*m**2,
floatingse.tower_Iyy,kg*m**2,
floatingse.tower_J0,kg*m**2,
floatingse.tower_rho,kg/m**3,
floatingse.tower_E,Pa,
floatingse.tower_G,Pa,
floatingse.rna_mass,kg,
floatingse.rna_I,kg*m**2,
floatingse.rna_cg,m,
floatingse.platform_total_center_of_mass,m,
floatingse.platform_I_total,kg*m**2,
floatingse.platform_Awater,m**2,
floatingse.system_mass,kg,
floatingse.system_I,kg*m**2,
floatingse.metacentric_height_roll,m,
floatingse.metacentric_height_pitch,m,
floatingse.platform_ballast_mass,kg,
floatingse.platform_hull_mass,kg,
floatingse.platform_I_hull,kg*m**2,
floatingse.turbine_mass,kg,
floatingse.turbine_cg,m,
floatingse.turbine_I,kg*m**2,
floatingse.platform_variable_capacity,m**3,
floatingse.member0_main_column:variable_ballast_Vpts,m**3,
floatingse.member0_main_column:variable_ballast_spts,,
floatingse.member1_column1:variable_ballast_Vpts,m**3,
floatingse.member1_column1:variable_ballast_spts,,
floatingse.member2_column2:variable_ballast_Vpts,m**3,
floatingse.member2_column2:variable_ballast_spts,,
floatingse.member3_column3:variable_ballast_Vpts,m**3,
floatingse.member3_column3:variable_ballast_spts,,
floatingse.member4_Y_pontoon_upper1:variable_ballast_Vpts,m**3,
floatingse.member4_Y_pontoon_upper1:variable_ballast_spts,,
floatingse.member5_Y_pontoon_upper2:variable_ballast_Vpts,m**3,
floatingse.member5_Y_pontoon_upper2:variable_ballast_spts,,
floatingse.member6_Y_pontoon_upper3:variable_ballast_Vpts,m**3,
floatingse.member6_Y_pontoon_upper3:variable_ballast_spts,,
floatingse.member7_Y_pontoon_lower1:variable_ballast_Vpts,m**3,
floatingse.member7_Y_pontoon_lower1:variable_ballast_spts,,
floatingse.member8_Y_pontoon_lower2:variable_ballast_Vpts,m**3,
floatingse.member8_Y_pontoon_lower2:variable_ballast_spts,,
floatingse.member9_Y_pontoon_lower3:variable_ballast_Vpts,m**3,
floatingse.member9_Y_pontoon_lower3:variable_ballast_spts,,
floatingse.member0_main_column:nodes_r,m,
floatingse.member0_main_column:section_D,m,
floatingse.member0_main_column:Iwaterx,m**4,
floatingse.member0_main_column:Iwatery,m**4,
floatingse.member0_main_column:section_t,m,
floatingse.member0_main_column:section_A,m**2,
floatingse.member0_main_column:section_Asx,m**2,
floatingse.member0_main_column:section_Asy,m**2,
floatingse.member0_main_column:section_Ixx,kg*m**2,
floatingse.member0_main_column:section_Iyy,kg*m**2,
floatingse.member0_main_column:section_J0,kg*m**2,
floatingse.member0_main_column:section_rho,kg/m**3,
floatingse.member0_main_column:section_E,Pa,
floatingse.member0_main_column:section_G,Pa,
floatingse.member0_main_column:section_TorsC,m**3,
floatingse.member0_main_column:section_sigma_y,Pa,
floatingse.member0_main_column:idx_cb,,
floatingse.member0_main_column:buoyancy_force,N,
floatingse.member0_main_column:displacement,m**3,
floatingse.member0_main_column:center_of_buoyancy,m,
floatingse.member0_main_column:center_of_mass,m,
floatingse.member0_main_column:ballast_mass,kg,
floatingse.member0_main_column:total_mass,kg,
floatingse.member0_main_column:total_cost,USD,
floatingse.member0_main_column:I_total,kg*m**2,
floatingse.member0_main_column:Awater,m**2,
floatingse.member0_main_column:added_mass,kg,
floatingse.member0_main_column:waterline_centroid,m,
floatingse.member0_main_column:variable_ballast_capacity,m**3,
floatingse.member1_column1:nodes_r,m,
floatingse.member1_column1:section_D,m,
floatingse.member1_column1:Iwaterx,m**4,
floatingse.member1_column1:Iwatery,m**4,
floatingse.member1_column1:section_t,m,
floatingse.member1_column1:section_A,m**2,
floatingse.member1_column1:section_Asx,m**2,
floatingse.member1_column1:section_Asy,m**2,
floatingse.member1_column1:section_Ixx,kg*m**2,
floatingse.member1_column1:section_Iyy,kg*m**2,
floatingse.member1_column1:section_J0,kg*m**2,
floatingse.member1_column1:section_rho,kg/m**3,
floatingse.member1_column1:section_E,Pa,
floatingse.member1_column1:section_G,Pa,
floatingse.member1_column1:section_TorsC,m**3,
floatingse.member1_column1:section_sigma_y,Pa,
floatingse.member1_column1:idx_cb,,
floatingse.member1_column1:buoyancy_force,N,
floatingse.member1_column1:displacement,m**3,
floatingse.member1_column1:center_of_buoyancy,m,
floatingse.member1_column1:center_of_mass,m,
floatingse.member1_column1:ballast_mass,kg,
floatingse.member1_column1:total_mass,kg,
floatingse.member1_column1:total_cost,USD,
floatingse.member1_column1:I_total,kg*m**2,
floatingse.member1_column1:Awater,m**2,
floatingse.member1_column1:added_mass,kg,
floatingse.member1_column1:waterline_centroid,m,
floatingse.member1_column1:variable_ballast_capacity,m**3,
floatingse.member2_column2:nodes_r,m,
floatingse.member2_column2:section_D,m,
floatingse.member2_column2:Iwaterx,m**4,
floatingse.member2_column2:Iwatery,m**4,
floatingse.member2_column2:section_t,m,
floatingse.member2_column2:section_A,m**2,
floatingse.member2_column2:section_Asx,m**2,
floatingse.member2_column2:section_Asy,m**2,
floatingse.member2_column2:section_Ixx,kg*m**2,
floatingse.member2_column2:section_Iyy,kg*m**2,
floatingse.member2_column2:section_J0,kg*m**2,
floatingse.member2_column2:section_rho,kg/m**3,
floatingse.member2_column2:section_E,Pa,
floatingse.member2_column2:section_G,Pa,
floatingse.member2_column2:section_TorsC,m**3,
floatingse.member2_column2:section_sigma_y,Pa,
floatingse.member2_column2:idx_cb,,
floatingse.member2_column2:buoyancy_force,N,
floatingse.member2_column2:displacement,m**3,
floatingse.member2_column2:center_of_buoyancy,m,
floatingse.member2_column2:center_of_mass,m,
floatingse.member2_column2:ballast_mass,kg,
floatingse.member2_column2:total_mass,kg,
floatingse.member2_column2:total_cost,USD,
floatingse.member2_column2:I_total,kg*m**2,
floatingse.member2_column2:Awater,m**2,
floatingse.member2_column2:added_mass,kg,
floatingse.member2_column2:waterline_centroid,m,
floatingse.member2_column2:variable_ballast_capacity,m**3,
floatingse.member3_column3:nodes_r,m,
floatingse.member3_column3:section_D,m,
floatingse.member3_column3:Iwaterx,m**4,
floatingse.member3_column3:Iwatery,m**4,
floatingse.member3_column3:section_t,m,
floatingse.member3_column3:section_A,m**2,
floatingse.member3_column3:section_Asx,m**2,
floatingse.member3_column3:section_Asy,m**2,
floatingse.member3_column3:section_Ixx,kg*m**2,
floatingse.member3_column3:section_Iyy,kg*m**2,
floatingse.member3_column3:section_J0,kg*m**2,
floatingse.member3_column3:section_rho,kg/m**3,
floatingse.member3_column3:section_E,Pa,
floatingse.member3_column3:section_G,Pa,
floatingse.member3_column3:section_TorsC,m**3,
floatingse.member3_column3:section_sigma_y,Pa,
floatingse.member3_column3:idx_cb,,
floatingse.member3_column3:buoyancy_force,N,
floatingse.member3_column3:displacement,m**3,
floatingse.member3_column3:center_of_buoyancy,m,
floatingse.member3_column3:center_of_mass,m,
floatingse.member3_column3:ballast_mass,kg,
floatingse.member3_column3:total_mass,kg,
floatingse.member3_column3:total_cost,USD,
floatingse.member3_column3:I_total,kg*m**2,
floatingse.member3_column3:Awater,m**2,
floatingse.member3_column3:added_mass,kg,
floatingse.member3_column3:waterline_centroid,m,
floatingse.member3_column3:variable_ballast_capacity,m**3,
floatingse.member4_Y_pontoon_upper1:nodes_r,m,
floatingse.member4_Y_pontoon_upper1:section_D,m,
floatingse.member4_Y_pontoon_upper1:Iwaterx,m**4,
floatingse.member4_Y_pontoon_upper1:Iwatery,m**4,
floatingse.member4_Y_pontoon_upper1:section_t,m,
floatingse.member4_Y_pontoon_upper1:section_A,m**2,
floatingse.member4_Y_pontoon_upper1:section_Asx,m**2,
floatingse.member4_Y_pontoon_upper1:section_Asy,m**2,
floatingse.member4_Y_pontoon_upper1:section_Ixx,kg*m**2,
floatingse.member4_Y_pontoon_upper1:section_Iyy,kg*m**2,
floatingse.member4_Y_pontoon_upper1:section_J0,kg*m**2,
floatingse.member4_Y_pontoon_upper1:section_rho,kg/m**3,
floatingse.member4_Y_pontoon_upper1:section_E,Pa,
floatingse.member4_Y_pontoon_upper1:section_G,Pa,
floatingse.member4_Y_pontoon_upper1:section_TorsC,m**3,
floatingse.member4_Y_pontoon_upper1:section_sigma_y,Pa,
floatingse.member4_Y_pontoon_upper1:idx_cb,,
floatingse.member4_Y_pontoon_upper1:buoyancy_force,N,
floatingse.member4_Y_pontoon_upper1:displacement,m**3,
floatingse.member4_Y_pontoon_upper1:center_of_buoyancy,m,
floatingse.member4_Y_pontoon_upper1:center_of_mass,m,
floatingse.member4_Y_pontoon_upper1:ballast_mass,kg,
floatingse.member4_Y_pontoon_upper1:total_mass,kg,
floatingse.member4_Y_pontoon_upper1:total_cost,USD,
floatingse.member4_Y_pontoon_upper1:I_total,kg*m**2,
floatingse.member4_Y_pontoon_upper1:Awater,m**2,
floatingse.member4_Y_pontoon_upper1:added_mass,kg,
floatingse.member4_Y_pontoon_upper1:waterline_centroid,m,
floatingse.member4_Y_pontoon_upper1:variable_ballast_capacity,m**3,
floatingse.member5_Y_pontoon_upper2:nodes_r,m,
floatingse.member5_Y_pontoon_upper2:section_D,m,
floatingse.member5_Y_pontoon_upper2:Iwaterx,m**4,
floatingse.member5_Y_pontoon_upper2:Iwatery,m**4,
floatingse.member5_Y_pontoon_upper2:section_t,m,
floatingse.member5_Y_pontoon_upper2:section_A,m**2,
floatingse.member5_Y_pontoon_upper2:section_Asx,m**2,
floatingse.member5_Y_pontoon_upper2:section_Asy,m**2,
floatingse.member5_Y_pontoon_upper2:section_Ixx,kg*m**2,
floatingse.member5_Y_pontoon_upper2:section_Iyy,kg*m**2,
floatingse.member5_Y_pontoon_upper2:section_J0,kg*m**2,
floatingse.member5_Y_pontoon_upper2:section_rho,kg/m**3,
floatingse.member5_Y_pontoon_upper2:section_E,Pa,
floatingse.member5_Y_pontoon_upper2:section_G,Pa,
floatingse.member5_Y_pontoon_upper2:section_TorsC,m**3,
floatingse.member5_Y_pontoon_upper2:section_sigma_y,Pa,
floatingse.member5_Y_pontoon_upper2:idx_cb,,
floatingse.member5_Y_pontoon_upper2:buoyancy_force,N,
floatingse.member5_Y_pontoon_upper2:displacement,m**3,
floatingse.member5_Y_pontoon_upper2:center_of_buoyancy,m,
floatingse.member5_Y_pontoon_upper2:center_of_mass,m,
floatingse.member5_Y_pontoon_upper2:ballast_mass,kg,
floatingse.member5_Y_pontoon_upper2:total_mass,kg,
floatingse.member5_Y_pontoon_upper2:total_cost,USD,
floatingse.member5_Y_pontoon_upper2:I_total,kg*m**2,
floatingse.member5_Y_pontoon_upper2:Awater,m**2,
floatingse.member5_Y_pontoon_upper2:added_mass,kg,
floatingse.member5_Y_pontoon_upper2:waterline_centroid,m,
floatingse.member5_Y_pontoon_upper2:variable_ballast_capacity,m**3,
floatingse.member6_Y_pontoon_upper3:nodes_r,m,
floatingse.member6_Y_pontoon_upper3:section_D,m,
floatingse.member6_Y_pontoon_upper3:Iwaterx,m**4,
floatingse.member6_Y_pontoon_upper3:Iwatery,m**4,
floatingse.member6_Y_pontoon_upper3:section_t,m,
floatingse.member6_Y_pontoon_upper3:section_A,m**2,
floatingse.member6_Y_pontoon_upper3:section_Asx,m**2,
floatingse.member6_Y_pontoon_upper3:section_Asy,m**2,
floatingse.member6_Y_pontoon_upper3:section_Ixx,kg*m**2,
floatingse.member6_Y_pontoon_upper3:section_Iyy,kg*m**2,
floatingse.member6_Y_pontoon_upper3:section_J0,kg*m**2,
floatingse.member6_Y_pontoon_upper3:section_rho,kg/m**3,
floatingse.member6_Y_pontoon_upper3:section_E,Pa,
floatingse.member6_Y_pontoon_upper3:section_G,Pa,
floatingse.member6_Y_pontoon_upper3:section_TorsC,m**3,
floatingse.member6_Y_pontoon_upper3:section_sigma_y,Pa,
floatingse.member6_Y_pontoon_upper3:idx_cb,,
floatingse.member6_Y_pontoon_upper3:buoyancy_force,N,
floatingse.member6_Y_pontoon_upper3:displacement,m**3,
floatingse.member6_Y_pontoon_upper3:center_of_buoyancy,m,
floatingse.member6_Y_pontoon_upper3:center_of_mass,m,
floatingse.member6_Y_pontoon_upper3:ballast_mass,kg,
floatingse.member6_Y_pontoon_upper3:total_mass,kg,
floatingse.member6_Y_pontoon_upper3:total_cost,USD,
floatingse.member6_Y_pontoon_upper3:I_total,kg*m**2,
floatingse.member6_Y_pontoon_upper3:Awater,m**2,
floatingse.member6_Y_pontoon_upper3:added_mass,kg,
floatingse.member6_Y_pontoon_upper3:waterline_centroid,m,
floatingse.member6_Y_pontoon_upper3:variable_ballast_capacity,m**3,
floatingse.member7_Y_pontoon_lower1:nodes_r,m,
floatingse.member7_Y_pontoon_lower1:section_D,m,
floatingse.member7_Y_pontoon_lower1:Iwaterx,m**4,
floatingse.member7_Y_pontoon_lower1:Iwatery,m**4,
floatingse.member7_Y_pontoon_lower1:section_t,m,
floatingse.member7_Y_pontoon_lower1:section_A,m**2,
floatingse.member7_Y_pontoon_lower1:section_Asx,m**2,
floatingse.member7_Y_pontoon_lower1:section_Asy,m**2,
floatingse.member7_Y_pontoon_lower1:section_Ixx,kg*m**2,
floatingse.member7_Y_pontoon_lower1:section_Iyy,kg*m**2,
floatingse.member7_Y_pontoon_lower1:section_J0,kg*m**2,
floatingse.member7_Y_pontoon_lower1:section_rho,kg/m**3,
floatingse.member7_Y_pontoon_lower1:section_E,Pa,
floatingse.member7_Y_pontoon_lower1:section_G,Pa,
floatingse.member7_Y_pontoon_lower1:section_TorsC,m**3,
floatingse.member7_Y_pontoon_lower1:section_sigma_y,Pa,
floatingse.member7_Y_pontoon_lower1:idx_cb,,
floatingse.member7_Y_pontoon_lower1:buoyancy_force,N,
floatingse.member7_Y_pontoon_lower1:displacement,m**3,
floatingse.member7_Y_pontoon_lower1:center_of_buoyancy,m,
floatingse.member7_Y_pontoon_lower1:center_of_mass,m,
floatingse.member7_Y_pontoon_lower1:ballast_mass,kg,
floatingse.member7_Y_pontoon_lower1:total_mass,kg,
floatingse.member7_Y_pontoon_lower1:total_cost,USD,
floatingse.member7_Y_pontoon_lower1:I_total,kg*m**2,
floatingse.member7_Y_pontoon_lower1:Awater,m**2,
floatingse.member7_Y_pontoon_lower1:added_mass,kg,
floatingse.member7_Y_pontoon_lower1:waterline_centroid,m,
floatingse.member7_Y_pontoon_lower1:variable_ballast_capacity,m**3,
floatingse.member8_Y_pontoon_lower2:nodes_r,m,
floatingse.member8_Y_pontoon_lower2:section_D,m,
floatingse.member8_Y_pontoon_lower2:Iwaterx,m**4,
floatingse.member8_Y_pontoon_lower2:Iwatery,m**4,
floatingse.member8_Y_pontoon_lower2:section_t,m,
floatingse.member8_Y_pontoon_lower2:section_A,m**2,
floatingse.member8_Y_pontoon_lower2:section_Asx,m**2,
floatingse.member8_Y_pontoon_lower2:section_Asy,m**2,
floatingse.member8_Y_pontoon_lower2:section_Ixx,kg*m**2,
floatingse.member8_Y_pontoon_lower2:section_Iyy,kg*m**2,
floatingse.member8_Y_pontoon_lower2:section_J0,kg*m**2,
floatingse.member8_Y_pontoon_lower2:section_rho,kg/m**3,
floatingse.member8_Y_pontoon_lower2:section_E,Pa,
floatingse.member8_Y_pontoon_lower2:section_G,Pa,
floatingse.member8_Y_pontoon_lower2:section_TorsC,m**3,
floatingse.member8_Y_pontoon_lower2:section_sigma_y,Pa,
floatingse.member8_Y_pontoon_lower2:idx_cb,,
floatingse.member8_Y_pontoon_lower2:buoyancy_force,N,
floatingse.member8_Y_pontoon_lower2:displacement,m**3,
floatingse.member8_Y_pontoon_lower2:center_of_buoyancy,m,
floatingse.member8_Y_pontoon_lower2:center_of_mass,m,
floatingse.member8_Y_pontoon_lower2:ballast_mass,kg,
floatingse.member8_Y_pontoon_lower2:total_mass,kg,
floatingse.member8_Y_pontoon_lower2:total_cost,USD,
floatingse.member8_Y_pontoon_lower2:I_total,kg*m**2,
floatingse.member8_Y_pontoon_lower2:Awater,m**2,
floatingse.member8_Y_pontoon_lower2:added_mass,kg,
floatingse.member8_Y_pontoon_lower2:waterline_centroid,m,
floatingse.member8_Y_pontoon_lower2:variable_ballast_capacity,m**3,
floatingse.member9_Y_pontoon_lower3:nodes_r,m,
floatingse.member9_Y_pontoon_lower3:section_D,m,
floatingse.member9_Y_pontoon_lower3:Iwaterx,m**4,
floatingse.member9_Y_pontoon_lower3:Iwatery,m**4,
floatingse.member9_Y_pontoon_lower3:section_t,m,
floatingse.member9_Y_pontoon_lower3:section_A,m**2,
floatingse.member9_Y_pontoon_lower3:section_Asx,m**2,
floatingse.member9_Y_pontoon_lower3:section_Asy,m**2,
floatingse.member9_Y_pontoon_lower3:section_Ixx,kg*m**2,
floatingse.member9_Y_pontoon_lower3:section_Iyy,kg*m**2,
floatingse.member9_Y_pontoon_lower3:section_J0,kg*m**2,
floatingse.member9_Y_pontoon_lower3:section_rho,kg/m**3,
floatingse.member9_Y_pontoon_lower3:section_E,Pa,
floatingse.member9_Y_pontoon_lower3:section_G,Pa,
floatingse.member9_Y_pontoon_lower3:section_TorsC,m**3,
floatingse.member9_Y_pontoon_lower3:section_sigma_y,Pa,
floatingse.member9_Y_pontoon_lower3:idx_cb,,
floatingse.member9_Y_pontoon_lower3:buoyancy_force,N,
floatingse.member9_Y_pontoon_lower3:displacement,m**3,
floatingse.member9_Y_pontoon_lower3:center_of_buoyancy,m,
floatingse.member9_Y_pontoon_lower3:center_of_mass,m,
floatingse.member9_Y_pontoon_lower3:ballast_mass,kg,
floatingse.member9_Y_pontoon_lower3:total_mass,kg,
floatingse.member9_Y_pontoon_lower3:total_cost,USD,
floatingse.member9_Y_pontoon_lower3:I_total,kg*m**2,
floatingse.member9_Y_pontoon_lower3:Awater,m**2,
floatingse.member9_Y_pontoon_lower3:added_mass,kg,
floatingse.member9_Y_pontoon_lower3:waterline_centroid,m,
floatingse.member9_Y_pontoon_lower3:variable_ballast_capacity,m**3,
