Variable,Units,Description
fixedse.post_monopile_tower.G_full,Pa,
fixedse.post_monopile_tower.rho_full,kg/m**3,
fixedse.post_monopile_tower.sigma_y_full,Pa,
fixedse.post_monopile_tower.section_A,m**2,
fixedse.post_monopile_tower.section_Asx,m**2,
fixedse.post_monopile_tower.section_Asy,m**2,
fixedse.post_monopile_tower.section_Ixx,kg*m**2,
fixedse.post_monopile_tower.section_Iyy,kg*m**2,
fixedse.post_monopile_tower.section_J0,kg*m**2,
fixedse.post_monopile_tower.section_rho,kg/m**3,
fixedse.post_monopile_tower.section_E,Pa,
fixedse.post_monopile_tower.section_G,Pa,
fixedse.post_monopile_tower.section_L,m,
fixedse.post_monopile_tower.cylinder_Fz,N,
fixedse.post_monopile_tower.cylinder_Vx,N,
fixedse.post_monopile_tower.cylinder_Vy,N,
fixedse.post_monopile_tower.cylinder_Mxx,N*m,
